ID,Produto,Grupo,Risk Indicator,Rank
ESC1123,Escavadeira,Demais,0.5294979610761995,3334.0
ESC1124,Escavadeira,Demais,0.5114415828698872,3633.0
ESC1125,Escavadeira,Demais,0.5564701021359559,2242.0
ESC1126,Escavadeira,Demais,0.589274231230391,1608.0
ESC1127,Escavadeira,Demais,0.5935517381176,1474.0
ESC1128,Escavadeira,Demais,0.7066083028896456,307.0
ESC1129,Escavadeira,Demais,0.6655363459094823,550.0
ESC113,Escavadeira,Demais,0.6941738181379685,388.0
ESC1130,Escavadeira,Demais,0.6561294709995188,603.0
ESC1131,Escavadeira,Demais,0.6906341155766429,423.0
ESC1132,Escavadeira,Demais,0.5286612627912418,3365.0
ESC1133,Escavadeira,Demais,0.655554832541342,605.0
ESC1134,Escavadeira,Demais,0.5613881750026926,2075.0
ESC1135,Escavadeira,Demais,0.5609056988926676,2103.0
ESC1136,Escavadeira,Demais,0.6724483207264896,521.0
ESC1137,Escavadeira,Demais,0.5923506551715518,1517.0
ESC1138,Escavadeira,Demais,0.7617090529883139,132.0
ESC1139,Escavadeira,Demais,0.6663484965593104,545.0
ESC114,Escavadeira,Demais,0.5373042729771607,3107.0
ESC1140,Escavadeira,Demais,0.6388620494355495,732.0
ESC1141,Escavadeira,Demais,0.616172766841449,882.0
ESC1142,Escavadeira,Demais,0.8631818628526269,2.0
ESC1143,Escavadeira,Demais,0.8053187604078026,55.0
ESC1144,Escavadeira,Demais,0.7339208170019123,225.0
ESC1145,Escavadeira,Demais,0.8581187813780549,8.0
ESC1146,Escavadeira,Demais,0.6150484909783223,900.0
ESC1147,Escavadeira,Demais,0.8581184062224472,9.0
ESC1148,Escavadeira,Demais,0.7378260426142007,205.0
ESC1149,Escavadeira,Demais,0.667024832187604,540.0
ESC115,Escavadeira,Demais,0.5837572679549876,1743.0
ESC1150,Escavadeira,Demais,0.596410358765032,1351.0
ESC1151,Escavadeira,Demais,0.6046904434429439,1177.0
ESC1152,Escavadeira,Demais,0.6207353782596818,854.0
ESC1153,Escavadeira,Demais,0.639910725141283,725.0
ESC1154,Escavadeira,Demais,0.7488746600936373,160.0
ESC1155,Escavadeira,Demais,0.6853343202073232,456.0
ESC1156,Escavadeira,Demais,0.5771886367223149,1809.0
ESC1157,Escavadeira,Demais,0.7893712324612272,87.0
ESC1158,Escavadeira,Demais,0.7218943363863153,262.0
ESC1159,Escavadeira,Demais,0.726022065510416,249.0
ESC116,Escavadeira,Demais,0.5052558542061394,3941.0
ESC1160,Escavadeira,Demais,0.6581921110198707,591.0
ESC1161,Escavadeira,Demais,0.7534899049911888,150.0
ESC1162,Escavadeira,Demais,0.7050424873757675,316.0
ESC1163,Escavadeira,Demais,0.6390396666353012,730.0
ESC1164,Escavadeira,Demais,0.748482663868584,162.0
ESC1165,Escavadeira,Demais,0.7486015576223598,161.0
ESC1166,Escavadeira,Demais,0.5858713601137107,1692.0
ESC1167,Escavadeira,Demais,0.5922899247590248,1518.0
ESC1168,Escavadeira,Demais,0.5889919083602404,1617.0
ESC1169,Escavadeira,Demais,0.7555275904730404,145.0
ESC117,Escavadeira,Demais,0.5861631310123885,1680.0
ESC1170,Escavadeira,Demais,0.6520834873263343,632.0
ESC1171,Escavadeira,Demais,0.6472354118019125,700.0
ESC1172,Escavadeira,Demais,0.7222483980280415,261.0
ESC1173,Escavadeira,Demais,0.7087204564942635,302.0
ESC1174,Escavadeira,Demais,0.6475179329446957,695.0
ESC1175,Escavadeira,Demais,0.7192530630909535,267.0
ESC1176,Escavadeira,Demais,0.7631173045659545,128.0
ESC1177,Escavadeira,Demais,0.7444752474796182,174.0
ESC1178,Escavadeira,Demais,0.6506449982536953,653.0
ESC1179,Escavadeira,Demais,0.7498360208291066,157.0
ESC118,Escavadeira,Demais,0.5380024391253848,3080.0
ESC1180,Escavadeira,Demais,0.7384255242378694,199.0
ESC1181,Escavadeira,Demais,0.6290079620729073,791.0
ESC1181,Escavadeira,RT,0.6290079620729073,791.0
ESC1182,Escavadeira,Demais,0.6670577183442113,538.0
ESC1183,Escavadeira,Demais,0.7100563051809531,296.0
ESC1184,Escavadeira,Demais,0.7285980981613404,242.0
ESC1185,Escavadeira,Demais,0.6690905355833822,529.0
ESC1186,Escavadeira,Demais,0.671646853321618,526.0
ESC1187,Escavadeira,Demais,0.6603834143108944,568.0
ESC1188,Escavadeira,Demais,0.6742731120499641,512.0
ESC1189,Escavadeira,Demais,0.6592082485585892,581.0
ESC119,Escavadeira,Demais,0.595865652337783,1371.0
ESC1190,Escavadeira,Demais,0.5229048398298183,3502.0
ESC1191,Escavadeira,Demais,0.7593281668842601,139.0
ESC1192,Escavadeira,Demais,0.7632717193973125,127.0
ESC1193,Escavadeira,Demais,0.788818685955583,88.0
ESC1194,Escavadeira,Demais,0.7329666423945592,228.0
ESC1195,Escavadeira,Demais,0.6777128423529666,502.0
ESC1196,Escavadeira,Demais,0.7649758178977261,125.0
ESC1197,Escavadeira,Demais,0.7828422518694602,99.0
ESC1198,Escavadeira,Demais,0.7811390326145573,102.0
ESC1199,Escavadeira,Demais,0.7854098817497492,95.0
ESC12,Escavadeira,Demais,0.7963932597330279,73.0
ESC120,Escavadeira,Demais,0.5959699010825605,1366.0
ESC1200,Escavadeira,Demais,0.8110010790243607,46.0
ESC1201,Escavadeira,Demais,0.7381677803582765,202.0
ESC1202,Escavadeira,Demais,0.7373299852853284,208.0
ESC1203,Escavadeira,Demais,0.6971702115377107,334.0
